keys,en,fr,nl
generic.yes,"Yes","",""
generic.no,"No","",""
generic.ok,"OK","",""
generic.change,"Change","",""
generic.cancel,"Cancel","",""
generic.confirm,"Confirm","",""
generic.submit,"Submit","",""
generic.skip,"Skip","",""
generic.previous,"Previous","",""
generic.next,"Next","",""
generic.lets_start,"Let's start","",""
generic.continue,"Continue","",""
generic.back,"Back","",""
generic.remove,"Remove","",""
generic.x_is_a,"{0} is a","",""
generic.x_is,"{0} is","",""
generic.years,"Years","",""
generic.months,"Months","",""
generic.weeks,"Weeks","",""
generic.and_has,"and has","",""
generic.click_to_select,"Click to select..","",""
generic.unknown_error,"An error occurred. Please try again or contact us.","",""
generic.per_day,"/ day","",""
generic.more_info,"More info","",""
generic.description,"Description","",""
generic.recommended,"Recommended","",""
generic.custom,"Custom","",""
generic.selected,"Selected","",""
generic.alternative,"Alternative","",""
generic.choose,"Choose","",""
generic.from_x_to_y,"From {0} to {1}","",""
generic.are_you_sure,"Are you sure?","",""
generic.select_one_or_more,"Select one or more","",""
generic.terms_and_conditions,"Terms and Conditions","",""
generic.privacy_policy,"Privacy Policy","",""
generic.chat_with_us,"Chat with us","",""
generic.contact_dogchef_vet,"Contact DogChef's vet","",""
generic.what_our_clients_say,"What our clients say","",""
country.belgium,"Belgium","",""
country.netherlands,"Netherlands","",""
country.luxembourg,"Luxembourg","",""
country.france,"France","",""
alert.plan_price_changed,"Plan pricing has been changed","",""
alert.plan_price_changed_to,"Your plan changed to {0} € /day","",""
signup.find_the_perfect_meal,"Find the perfect meal for your dog's needs","",""
signup.answer_a_few_questions_about_your_dog,"Answer a few questions about your dog to create a 100% customised plan. It only takes a few minutes to make your dog healthier!","",""
signup.continue_previous_simulation,"Continue a previous simulation","",""
signup.insert_your_email_to_recover_signup,"Please insert your email to recover your existing signup progress:"
signup.pets.progress_title,"My pets","",""
signup.pets.pet_name.title,"What's your pet name?","",""
signup.pets.pet_name.my_dog_name_is,"My dog name is | My dogs names are","",""
signup.pets.pet_name.i_have_another_dog,"I have another dog","",""
signup.pets.pet_name.want_to_remove_this_dog,"Are you sure you want to remove this dog? You will lose any data introduced so far.","",""
signup.pets.pet_name.do_you_have_another_dog,"Do you have another dog?","",""
signup.pets.pet_name.special_discount,"Get a special volume discount by adding all your dogs.","",""
signup.pets.gender.title,"Is a boy or a girl? | Are they boys or girls?","",""
signup.pets.eating_habit.title,"How good your dog eats? | What about their eating style?","",""
signup.pets.previous_food.title,"What's your dog current food? | What are their current food?","",""
signup.pets.allergy.title,"Food restrictions","",""
signup.pets.allergy.desc,"Does your dog have food he dislikes or is allergic to? | Do your dogs have food they don't like or are allergic to?","",""
signup.pets.neutered.title,"Is neutered? | Are they neutered?","",""
signup.pets.breed.title,"What's your dog breed? | What are their breeds?","",""
signup.pets.adult_puppy_age.title,"How old is your dog? | How old are they?","",""
signup.pets.body_composition.title,"What do your dog's body looks like? | What do their bodies look like?","",""
signup.pets.activity_level.title,"Is your dog active? | Are your dogs active?","",""
signup.pets.weight.title,"How much does your dog weigh? | How much do your dogs weigh?","",""
signup.pets.disease_special_condition.title,"Does your dog suffers from a disease or has a special condition? | Do your dogs suffer from a disease or have a special condition?","",""
